X 		 Y
 -52.0	28.0	-10
 -144.0	20.0	-15
 48.0	8.0	-5
 -4.0	-14.0	-10
 -1.0	-7.0	-15
 -3.0	0.0	-15
 -1.0	2.0	-15
 -10.0	-4.0	-25
 -7.0	4.0	-35
 -8.0	-1.0	-45
 -11.0	-12.0	-60
 38.0	93.0	-50
 -34.0	-49.0	-65
 -107.0	-280.0	0
 -5.0	-20.0	-15
 -25.0	-40.0	-30
 -254.0	-59.0	-5
 -44.0	-1.0	-15
 1.0	-3.0	-15
 5.0	-7.0	-10
 0.0	-2.0	-10
 70.0	203.0	-5
 109.0	391.0	0
 27.0	-28.0	5
 64.0	0.0	15
 0.0	18.0	15
 -17.0	13.0	5
 -18.0	11.0	-5
 -8.0	8.0	-15
 -203.0	52.0	-20
 78.0	323.0	0
 56.0	90.0	10
 42.0	17.0	20
 29.0	6.0	30
 -2.0	5.0	30
 -6.0	4.0	20
